Name,Well,450,540,570
85R1_unstim,A1,0.705,0.051,0.045
85R2_unstim,B1,0.699,0.057,0.052
86R1_unstim,C1,0.699,0.051,0.045
86R2_unstim,D1,0.693,0.052,0.046
water1_unstim,E1,0.692,0.051,0.045
water2_unstim,F1,0.649,0.05,0.045
std1,G1,0.149,0.044,0.043
std1,H1,0.15,0.044,0.043
85R1_unstim,A2,0.723,0.051,0.045
85R2_unstim,B2,0.707,0.051,0.045
86R1_unstim,C2,0.687,0.049,0.043
86R2_unstim,D2,0.695,0.05,0.044
water1_unstim,E2,0.667,0.049,0.043
water2_unstim,F2,0.687,0.05,0.044
std2,G2,0.26,0.045,0.043
std2,H2,0.251,0.045,0.043
85R1_unstim,A3,0.713,0.051,0.045
85R2_unstim,B3,0.712,0.05,0.044
86R1_unstim,C3,0.663,0.051,0.045
86R2_unstim,D3,0.659,0.049,0.043
water1_unstim,E3,0.661,0.05,0.044
water2_unstim,F3,0.647,0.049,0.043
std3,G3,0.447,0.047,0.044
std3,H3,0.389,0.047,0.043
85R1_unstim,A4,0.806,0.052,0.045
85R2_unstim,B4,0.81,0.052,0.045
86R1_unstim,C4,0.817,0.053,0.046
86R2_unstim,D4,0.809,0.052,0.046
water1_unstim,E4,0.752,0.052,0.045
water2_unstim,F4,0.717,0.05,0.045
std4,G4,0.651,0.05,0.044
std4,H4,0.611,0.049,0.044
85R1_unstim,A5,0.817,0.052,0.045
85R2_unstim,B5,0.779,0.052,0.045
86R1_unstim,C5,0.798,0.053,0.045
86R2_unstim,D5,0.788,0.052,0.045
water1_unstim,E5,0.754,0.051,0.045
water2_unstim,F5,0.795,0.052,0.045
std5,G5,0.84,0.053,0.046
std5,H5,0.806,0.052,0.045
85R1_unstim,A6,0.769,0.053,0.046
85R2_unstim,B6,0.763,0.051,0.045
86R1_unstim,C6,0.803,0.053,0.046
86R2_unstim,D6,0.75,0.051,0.044
water1_unstim,E6,0.8,0.053,0.046
water2_unstim,F6,0.789,0.052,0.045
std6,G6,0.94,0.054,0.046
std6,H6,0.942,0.055,0.047
85R1_stim,A7,0.707,0.051,0.045
85R2_stim,B7,0.719,0.051,0.045
86R1_stim,C7,0.674,0.051,0.045
86R2_stim,D7,0.781,0.051,0.046
water1_stim,E7,0.697,0.05,0.044
water2_stim,F7,0.771,0.049,0.042
std7,G7,0.94,0.053,0.044
std7,H7,0.959,0.054,0.045
85R1_stim,A8,0.697,0.051,0.045
85R2_stim,B8,0.744,0.052,0.045
86R1_stim,C8,0.675,0.05,0.044
86R2_stim,D8,0.635,0.05,0.045
water1_stim,E8,0.664,0.049,0.043
water2_stim,F8,0.665,0.05,0.044
nsb,G8,0.047,0.042,0.041
nsb,H8,0.045,0.04,0.04
85R1_stim,A9,0.677,0.051,0.045
85R2_stim,B9,0.676,0.051,0.045
86R1_stim,C9,0.718,0.052,0.046
86R2_stim,D9,0.685,0.051,0.045
water1_stim,E9,0.654,0.05,0.044
water2_stim,F9,0.699,0.049,0.043
mediaOnly,G9,0.698,0.048,0.042
mediaOnly,H9,0.72,0.051,0.045
85R1_stim,A10,0.66,0.051,0.045
85R2_stim,B10,0.69,0.051,0.045
86R1_stim,C10,0.7,0.05,0.044
86R2_stim,D10,0.706,0.051,0.045
water1_stim,E10,0.67,0.048,0.042
water2_stim,F10,0.727,0.048,0.042
mediaOnly,G10,0.933,0.054,0.046
mediaOnly,H10,0.754,0.052,0.045
85R1_stim,A11,0.698,0.051,0.045
85R2_stim,B11,0.73,0.052,0.045
86R1_stim,C11,0.692,0.051,0.045
86R2_stim,D11,0.752,0.051,0.045
water1_stim,E11,0.693,0.051,0.045
water2_stim,F11,0.715,0.05,0.044
mediaOnly,G11,0.772,0.052,0.046
mediaOnly,H11,0.703,0.051,0.045
85R1_stim,A12,0.731,0.052,0.047
85R2_stim,B12,0.729,0.051,0.045
86R1_stim,C12,0.714,0.052,0.045
86R2_stim,D12,0.794,0.052,0.045
water1_stim,E12,0.787,0.051,0.044
water2_stim,F12,0.743,0.05,0.044
mediaOnly,G12,0.827,0.052,0.046
mediaOnly,H12,0.757,0.052,0.045
