Name,Well,450,540,570
86R1_unstim,A1,0.674,0.054,0.049
86R2_unstim,B1,0.637,0.049,0.044
85R1_unstim,C1,0.605,0.053,0.048
85R2_unstim,D1,0.616,0.05,0.045
water1_unstim,E1,0.645,0.051,0.045
water2_unstim,F1,0.603,0.05,0.045
std1,G1,0.168,0.044,0.043
std1,H1,0.147,0.044,0.043
86R1_unstim,A2,0.622,0.049,0.044
86R2_unstim,B2,0.584,0.049,0.044
85R1_unstim,C2,0.573,0.049,0.045
85R2_unstim,D2,0.563,0.049,0.045
water1_unstim,E2,0.612,0.05,0.045
water2_unstim,F2,0.582,0.049,0.045
std2,G2,0.25,0.045,0.043
std2,H2,0.268,0.045,0.044
86R1_unstim,A3,0.585,0.048,0.044
86R2_unstim,B3,0.666,0.049,0.044
85R1_unstim,C3,0.57,0.049,0.045
85R2_unstim,D3,0.629,0.049,0.044
water1_unstim,E3,0.608,0.049,0.045
water2_unstim,F3,0.573,0.049,0.045
std3,G3,0.437,0.048,0.045
std3,H3,0.447,0.047,0.044
86R1_unstim,A4,0.593,0.049,0.045
86R2_unstim,B4,0.617,0.049,0.044
85R1_unstim,C4,0.523,0.049,0.045
85R2_unstim,D4,0.569,0.05,0.046
water1_unstim,E4,0.437,0.047,0.044
water2_unstim,F4,0.564,0.049,0.045
std4,G4,0.584,0.05,0.045
std4,H4,0.578,0.05,0.045
86R1_unstim,A5,0.603,0.049,0.045
86R2_unstim,B5,0.604,0.049,0.044
85R1_unstim,C5,0.536,0.049,0.045
85R2_unstim,D5,0.486,0.05,0.047
water1_unstim,E5,0.575,0.049,0.045
water2_unstim,F5,0.614,0.05,0.045
std5,G5,0.764,0.052,0.045
std5,H5,0.75,0.052,0.046
86R1_unstim,A6,0.643,0.05,0.045
86R2_unstim,B6,0.608,0.049,0.045
85R1_unstim,C6,0.586,0.05,0.046
85R2_unstim,D6,0.541,0.049,0.045
water1_unstim,E6,0.594,0.048,0.043
water2_unstim,F6,0.615,0.054,0.049
std6,G6,0.821,0.052,0.046
std6,H6,0.937,0.054,0.046
86R1_stim,A7,0.357,0.046,0.044
86R2_stim,B7,0.38,0.046,0.043
85R1_stim,C7,0.345,0.046,0.044
85R2_stim,D7,0.255,0.045,0.043
water1_stim,E7,0.315,0.046,0.044
water2_stim,F7,0.274,0.045,0.043
std7,G7,0.882,0.053,0.046
std7,H7,0.959,0.054,0.046
86R1_stim,A8,0.372,0.046,0.043
86R2_stim,B8,0.404,0.047,0.044
85R1_stim,C8,0.344,0.046,0.044
85R2_stim,D8,0.323,0.045,0.042
water1_stim,E8,0.321,0.046,0.044
water2_stim,F8,0.33,0.046,0.043
NSB,G8,0.048,0.041,0.042
NSB,H8,0.047,0.042,0.042
86R1_stim,A9,0.381,0.046,0.043
86R2_stim,B9,0.476,0.054,0.051
85R1_stim,C9,0.279,0.046,0.044
85R2_stim,D9,0.283,0.045,0.044
water1_stim,E9,0.307,0.046,0.044
water2_stim,F9,0.291,0.045,0.044
mediaOnly,G9,0.866,0.054,0.047
mediaOnly,H9,0.972,0.055,0.047
86R1_stim,A10,0.356,0.047,0.044
86R2_stim,B10,0.385,0.047,0.044
85R1_stim,C10,0.322,0.046,0.044
85R2_stim,D10,0.281,0.045,0.044
water1_stim,E10,0.313,0.046,0.045
water2_stim,F10,0.324,0.046,0.044
mediaOnly,G10,0.945,0.055,0.047
mediaOnly,H10,0.926,0.055,0.048
86R1_stim,A11,0.37,0.046,0.043
86R2_stim,B11,0.338,0.046,0.044
85R1_stim,C11,0.331,0.046,0.044
85R2_stim,D11,0.289,0.046,0.044
water1_stim,E11,0.338,0.046,0.044
water2_stim,F11,0.282,0.045,0.044
mediaOnly,G11,0.929,0.054,0.046
mediaOnly,H11,0.956,0.055,0.047
86R1_stim,A12,0.391,0.046,0.044
86R2_stim,B12,0.435,0.047,0.044
85R1_stim,C12,0.314,0.046,0.044
85R2_stim,D12,0.34,0.046,0.044
water1_stim,E12,0.326,0.046,0.044
water2_stim,F12,0.322,0.046,0.044
mediaOnly,G12,0.923,0.054,0.046
mediaOnly,H12,0.965,0.055,0.046
