Name,Well,30min,24hr
85R1_unstim,A1,195,3089
85R2_unstim,B1,197,3194
86R1_unstim,C1,199,3307
86R2_unstim,D1,192,2846
water1_unstim,E1,200,2833
water2_unstim,F1,194,2261
,G1,1,1
,H1,1,1
85R1_unstim,A2,192,3112
85R2_unstim,B2,215,3373
86R1_unstim,C2,192,3285
86R2_unstim,D2,198,2933
water1_unstim,E2,202,3017
water2_unstim,F2,174,2187
,G2,0,2
,H2,1,1
85R1_unstim,A3,204,3291
85R2_unstim,B3,205,3478
86R1_unstim,C3,173,2880
86R2_unstim,D3,192,2955
water1_unstim,E3,197,2966
water2_unstim,F3,197,2312
,G3,1,2
,H3,0,0
85R1_unstim,A4,192,3249
85R2_unstim,B4,196,3250
86R1_unstim,C4,183,3255
86R2_unstim,D4,173,2574
water1_unstim,E4,179,2606
water2_unstim,F4,175,2113
,G4,0,0
,H4,0,0
85R1_unstim,A5,189,3204
85R2_unstim,B5,188,3298
86R1_unstim,C5,183,3285
86R2_unstim,D5,180,2901
water1_unstim,E5,184,2834
water2_unstim,F5,194,2296
,G5,1,0
,H5,0,1
85R1_unstim,A6,194,3267
85R2_unstim,B6,206,3349
86R1_unstim,C6,186,3285
86R2_unstim,D6,173,2904
water1_unstim,E6,179,2864
water2_unstim,F6,183,2303
,G6,0,1
,H6,0,1
85R1_stim,A7,194,3250
85R2_stim,B7,196,3336
86R1_stim,C7,201,3345
86R2_stim,D7,180,2958
water1_stim,E7,201,2806
water2_stim,F7,183,2249
,G7,1,1
,H7,0,1
85R1_stim,A8,203,3338
85R2_stim,B8,194,3273
86R1_stim,C8,195,3319
86R2_stim,D8,184,3006
water1_stim,E8,187,2706
water2_stim,F8,185,2299
,G8,0,1
,H8,0,1
85R1_stim,A9,205,3310
85R2_stim,B9,211,3433
86R1_stim,C9,207,3222
86R2_stim,D9,190,3061
water1_stim,E9,209,2600
water2_stim,F9,195,2337
mediaOnly,G9,119,159
mediaOnly,H9,113,166
85R1_stim,A10,200,3320
85R2_stim,B10,210,3377
86R1_stim,C10,203,3317
86R2_stim,D10,184,3161
water1_stim,E10,210,2639
water2_stim,F10,187,2320
mediaOnly,G10,101,153
mediaOnly,H10,119,163
85R1_stim,A11,204,3217
85R2_stim,B11,205,3279
86R1_stim,C11,163,2768
86R2_stim,D11,175,2810
water1_stim,E11,200,2462
water2_stim,F11,180,2212
mediaOnly,G11,109,156
mediaOnly,H11,107,162
85R1_stim,A12,207,3152
85R2_stim,B12,195,3149
86R1_stim,C12,183,2809
86R2_stim,D12,191,2908
water1_stim,E12,194,2328
water2_stim,F12,194,2292
mediaOnly,G12,111,149
mediaOnly,H12,111,155
