tx,stim,Well,OD_450,OD_540,OD_570,Name,PB_30,PB_24,corrected,loganswer,conc,below,above
85R1,unstim,A1,0.705,0.051,0.045,85R1_unstim,195,3089,0.6539999999999999,1.5770515190761956,11.661654434675103,FALSE,FALSE
85R2,unstim,B1,0.699,0.057,0.052,85R2_unstim,197,3194,0.6419999999999999,1.6117226266415703,14.799891880611366,FALSE,FALSE
86R1,unstim,C1,0.699,0.051,0.045,86R1_unstim,199,3307,0.6479999999999999,1.5944288810939666,13.203243810833879,FALSE,FALSE
86R2,unstim,D1,0.693,0.052,0.046,86R2_unstim,192,2846,0.6409999999999999,1.614597337426312,15.071517432582727,FALSE,FALSE
water1,unstim,E1,0.692,0.051,0.045,water1_unstim,200,2833,0.6409999999999999,1.614597337426312,15.071517432582727,FALSE,FALSE
water2,unstim,F1,0.649,0.05,0.045,water2_unstim,194,2261,0.599,1.7338639850020732,28.08307303182094,FALSE,FALSE
85R1,unstim,A2,0.723,0.051,0.045,85R1_unstim,192,3112,0.6719999999999999,1.52433435174685,7.3451987432255414,FALSE,FALSE
85R2,unstim,B2,0.707,0.051,0.045,85R2_unstim,215,3373,0.6559999999999999,1.5712390907727052,11.159633481660801,FALSE,FALSE
86R1,unstim,C2,0.687,0.049,0.043,86R1_unstim,192,3285,0.638,1.623209177485753,15.896076965296597,FALSE,FALSE
86R2,unstim,D2,0.695,0.05,0.044,86R2_unstim,198,2933,0.6449999999999999,1.603085713239854,13.994540179034512,FALSE,FALSE
water1,unstim,E2,0.667,0.049,0.043,water1_unstim,202,3017,0.618,1.6802114536972532,21.786274981957714,FALSE,FALSE
water2,unstim,F2,0.687,0.05,0.044,water2_unstim,174,2187,0.637,1.6260758080558015,16.174195990028007,FALSE,FALSE
85R1,unstim,A3,0.713,0.051,0.045,85R1_unstim,204,3291,0.6619999999999999,1.5537375292553484,9.687964337304155,FALSE,FALSE
85R2,unstim,B3,0.712,0.05,0.044,85R2_unstim,205,3478,0.6619999999999999,1.5537375292553484,9.687964337304155,FALSE,FALSE
86R1,unstim,C3,0.663,0.051,0.045,86R1_unstim,173,2880,0.612,1.6971969409076835,23.69624070780935,FALSE,FALSE
86R2,unstim,D3,0.659,0.049,0.043,86R2_unstim,192,2955,0.61,1.7028492018243215,24.348565713154162,FALSE,FALSE
water1,unstim,E3,0.661,0.05,0.044,water1_unstim,197,2966,0.611,1.7000236356822636,24.021407105415445,FALSE,FALSE
water2,unstim,F3,0.647,0.049,0.043,water2_unstim,197,2312,0.598,1.7366781883030609,28.43531654442697,FALSE,FALSE
85R1,unstim,A4,0.806,0.052,0.045,85R1_unstim,192,3249,0.754,1.2655605587930265,-7.668549120459012,FALSE,FALSE
85R2,unstim,B4,0.81,0.052,0.045,85R2_unstim,196,3250,0.758,1.2517265388052696,-8.246413596693607,FALSE,FALSE
